acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,simbology
32, 6, -8, 11, -7, 30, 6, 7, 32, 8, 7, 30, 9, -7, 31,A
33, 6, -9, 12, -8, 29, 6, 7, 32, 8, 7, 30, 8, -7, 31,A
33, 5, -8, 11, -7, 30, 6, 8, 32, 8, 7, 31, 8, -6, 31,A
33, 5, -8, 11, -7, 30, 5, 7, 32, 8, 7, 30, 8, -7, 31,A
33, 5, -8, 11, -7, 30, 5, 7, 32, 7, 8, 31, 7, -6, 32,A
34, 2, -8, 9, -7, 32, 4, 8, 32, 7, 8, 31, 7, -5, 32,A
35, 0, -4, 9, -3, 32, 5, 11, 30, 8, 11, 29, 9, -2, 31,A
34, 2, -4, 10, -3, 32, 5, 11, 31, 7, 11, 29, 8, -2, 31,A
33, 3, -5, 10, -3, 31, 5, 10, 31, 7, 11, 30, 7, -3, 32,A
33, 4, -9, 10, -6, 31, 5, 7, 32, 8, 7, 31, 9, -6, 31,A
33, 5, -7, 11, -4, 31, 5, 9, 31, 8, 5, 30, 8, -8, 30,A
33, 3, -7, 9, -4, 32, 4, 9, 32, 7, 5, 31, 8, -10, 30,A
34, 3, -7, 10, -5, 32, 4, 8, 32, 8, 6, 31, 8, -10, 31,A
33, 13, -7, 8, -4, 32, 3, 9, 31, 6, 7, 31, 10, -4, 31,A
30, 6, -12, 5, -2, 33, 0, 10, 32, 2, 9, 31, 4, -1, 33,A
31, 7, -13, 1, -2, 33, -2, 10, 31, 3, 10, 30, 5, 3, 32,A
33, 6, -11, 5, -10, 31, 5, 11, 32, 5, 10, 30, 7, 1, 32,A
32, 4, -10, 8, -5, 32, 2, 9, 32, 9, 3, 28, 22, 6, 21,A
33, 0, -11, 2, -7, 32, -2, 8, 32, 5, 8, 31, 9, 1, 31,A
32, 10, -12, 9, -13, 29, 4, 2, 33, 8, 1, 31, 14, -6, 28,A
31, 10, -13, 6, -11, 31, 1, 4, 33, 5, 2, 32, 8, -9, 30,A
29, 10, -14, 6, -5, 32, 1, 6, 32, 4, 6, 31, 8, -7, 31,A
30, 5, -11, 3, -1, 32, -2, 12, 31, 0, 12, 31, 3, 0, 34,A
33, 3, -7, 0, -6, 32, -5, 7, 32, -2, 8, 31, 1, -4, 32,A
33, 3, -8, 0, -8, 32, -5, 7, 32, -3, 7, 31, 1, -4, 33,A
32, -1, -10, -1, -4, 33, -7, 8, 31, -4, 9, 31, 0, -2, 32,A
33, -3, -9, -2, -5, 32, -7, 8, 31, -4, 8, 31, 0, -3, 32,A
34, -4, -6, -2, -2, 33, -6, 10, 31, -3, 11, 29, 0, 0, 32,A
32, -4, -3, 0, 2, 32, -3, 14, 29, 0, 13, 29, 4, 2, 32,A
34, 3, -7, 10, -6, 31, 6, 6, 32, 9, 6, 30, 9, -5, 31,A
34, -4, -8, 4, -5, 33, 2, 8, 32, 6, 8, 31, 7, -3, 33,A
34, -3, -1, 5, 0, 33, 3, 13, 30, 6, 13, 28, 7, 2, 31,A
34, -1, -8, 6, -6, 31, 3, 6, 31, 6, 7, 29, 7, -4, 30,A
33, -4, -10, 3, -7, 33, 2, 6, 33, 6, 6, 31, 5, -5, 31,A
32, 0, -10, 2, -6, 32, -2, 6, 33, 1, 7, 32, 0, -4, 33,A
35, -4, -4, 3, -1, 34, 0, 12, 31, 4, 12, 30, 4, 0, 33,A
32, -1, -10, 3, -5, 32, 1, 7, 32, 4, 7, 31, 3, -6, 32,A
31, 1, -13, 8, -13, 30, 6, 4, 32, 7, 5, 30, 5, -4, 32,A
32, -3, -13, 12, -18, 25, 5, 3, 32, 4, 4, 33, 3, -4, 32,A
30, -4, -12, 9, -14, 28, 3, 6, 33, 10, 6, 29, 8, -1, 31,A
30, -5, -12, 7, -14, 27, 6, 6, 31, 12, 7, 29, 9, -1, 33,A
31, -9, -11, 5, -16, 29, 6, 5, 31, 15, 7, 28, 19, 4, 26,A
